id,task,framework,fold,result,mode,version,params,tag,utc,duration,models,seed,info,acc,auc,logloss
openml.org/t/146818,Australian,GAMA,3,0.943124,local,20.1.0,,stable,2020-06-24T22:46:34,2527.3,50,569003542,,0.869565,0.943124,0.305306
openml.org/t/146818,Australian,GAMA,4,0.95416,local,20.1.0,,stable,2020-06-24T22:46:34,2527.2,50,1461137084,,0.869565,0.95416,0.270598
openml.org/t/146818,Australian,GAMA,5,0.972835,local,20.1.0,,stable,2020-06-24T22:46:40,2525.6,50,4154181656,,0.913043,0.972835,0.383792
openml.org/t/146818,Australian,GAMA,6,0.905772,local,20.1.0,,stable,2020-06-24T22:46:46,2525.1,50,910214851,,0.811594,0.905772,0.380671
openml.org/t/146818,Australian,GAMA,7,0.94359,local,20.1.0,,stable,2020-06-24T22:46:47,2525.6,50,337971924,,0.898551,0.94359,0.315039
openml.org/t/146818,Australian,GAMA,8,0.960684,local,20.1.0,,stable,2020-06-24T22:47:10,2525.5,50,2516799614,,0.884058,0.960684,0.279031
openml.org/t/146818,Australian,GAMA,9,0.939316,local,20.1.0,,stable,2020-06-24T22:47:19,2526.8,50,2025445055,,0.826087,0.939316,0.319063
openml.org/t/14965,bank-marketing,GAMA,0,0.938766,local,20.1.0,,stable,2020-06-25T00:58:45,2547.5,50,3949594941,,0.907121,0.938766,0.192984
openml.org/t/14965,bank-marketing,GAMA,1,0.934398,local,20.1.0,,stable,2020-06-25T00:58:51,2541.9,50,3914052683,,0.906437,0.934398,0.197872
openml.org/t/14965,bank-marketing,GAMA,2,0.943916,local,20.1.0,,stable,2020-06-25T00:58:54,2541.3,50,3815668679,,0.916169,0.943916,0.185397
openml.org/t/14965,bank-marketing,GAMA,3,0.936928,local,20.1.0,,stable,2020-06-25T00:59:10,2543.5,50,2266027527,,0.909754,0.936928,0.195422
openml.org/t/14965,bank-marketing,GAMA,4,0.938776,local,20.1.0,,stable,2020-06-25T00:59:22,2541.9,50,4264365380,,0.906215,0.938776,0.193603
openml.org/t/14965,bank-marketing,GAMA,5,0.927001,local,20.1.0,,stable,2020-06-25T00:59:50,2551.7,50,2096379500,,0.904888,0.927001,0.204877
openml.org/t/14965,bank-marketing,GAMA,6,0.924758,local,20.1.0,,stable,2020-06-25T01:00:28,2548.6,50,1028594046,,0.902013,0.924758,0.208192
openml.org/t/14965,bank-marketing,GAMA,7,0.943941,local,20.1.0,,stable,2020-06-25T01:00:36,2548.3,50,153429408,,0.907764,0.943941,0.187322
openml.org/t/14965,bank-marketing,GAMA,8,0.935756,local,20.1.0,,stable,2020-06-25T01:00:46,2550.2,50,4100067739,,0.911524,0.935756,0.194587
openml.org/t/14965,bank-marketing,GAMA,9,0.942103,local,20.1.0,,stable,2020-06-25T01:00:44,2542.5,50,273164439,,0.910639,0.942103,0.189036
openml.org/t/10101,blood-transfusion,GAMA,0,0.769493,local,20.1.0,,stable,2020-06-24T22:47:23,2526.7,50,3132347706,,0.76,0.769493,0.493764
openml.org/t/10101,blood-transfusion,GAMA,1,0.839669,local,20.1.0,,stable,2020-06-24T22:47:24,2525.3,50,3189536775,,0.76,0.839669,0.524532
openml.org/t/10101,blood-transfusion,GAMA,2,0.677388,local,20.1.0,,stable,2020-06-24T22:47:32,2526.3,50,3987615769,,0.76,0.677388,0.532132
openml.org/t/10101,blood-transfusion,GAMA,3,0.70809,local,20.1.0,,stable,2020-06-24T22:47:51,2525.2,50,1193911391,,0.746667,0.70809,0.502774
openml.org/t/10101,blood-transfusion,GAMA,4,0.802144,local,20.1.0,,stable,2020-06-24T22:48:03,2525.2,50,3194721665,,0.76,0.802144,0.530581
openml.org/t/10101,blood-transfusion,GAMA,5,0.744152,local,20.1.0,,stable,2020-06-24T22:48:02,2524.7,50,4281148710,,0.76,0.744152,0.529928
openml.org/t/10101,blood-transfusion,GAMA,6,0.771442,local,20.1.0,,stable,2020-06-24T22:48:10,2526.6,50,2173014045,,0.76,0.771442,0.531514
openml.org/t/10101,blood-transfusion,GAMA,7,0.754873,local,20.1.0,,stable,2020-06-24T22:48:21,2525.3,50,3257308635,,0.76,0.754873,0.529363
openml.org/t/10101,blood-transfusion,GAMA,8,0.742518,local,20.1.0,,stable,2020-06-24T22:48:48,2527.5,50,11068119,,0.77027,0.742518,0.519952
openml.org/t/10101,blood-transfusion,GAMA,9,0.74355,local,20.1.0,,stable,2020-06-24T22:49:01,2526.4,50,457014656,,0.77027,0.74355,0.495871
openml.org/t/146821,car,GAMA,0,0.00538059,local,20.1.0,,stable,2020-06-24T22:49:09,2532.8,50,2423895508,,1.0,,0.00538059
openml.org/t/146821,car,GAMA,1,0.00661357,local,20.1.0,,stable,2020-06-24T22:50:10,2532.6,50,626993459,,1.0,,0.00661357
